uncertainty_expression,extracted_hedging_expression,normalized_confidence_scores
"I'm fairly sure that Turbo, Antioquia, was founded in 1840.",fairly,"[0.79, 0.77, 0.67]"
I’d say that George John Sandys became a Lieutenant on 28 August 1901.,I'd say,"[0.64, 0.65, 0.76]"
"I'm sorry, but I do not have the information to answer that question.",other,"[0.03, 0.01, 0.02]"
"It could be that the LAS campus in Hattiban was built on 350 ropanis of land in 1995, but I’m not sure.",it could be that,"[0.45, 0.39, 0.34, 0.43]"
I’ve come across mentions that suggest his Kingston school was Wolmer's Boys School.,suggest,"[0.43, 0.34, 0.45]"
"If I recall correctly, ""Trochoidal Curve"" by Augustus De Morgan came out in 1843.",if I recall correctly,"[0.45, 0.29, 0.48, 0.22]"
I think it’s safe to say that the surname was Martin.,I think,"[0.69, 0.69, 0.66]"
I’d say that Arnold is the character responsible for newspaper deliveries on The Flintstones.,I'd say,"[0.77, 0.74, 0.63]"
"I’m not entirely sure, but I believe it's *American Heart Association No-Fad Diet: A Personal Plan for Healthy Weight Loss*.",not entirely,"[0.37, 0.21, 0.25]"
"If I recall correctly, the 2011 census put the number of Urdu speakers at 2.61%.",if I recall correctly,"[0.46, 0.44, 0.44]"
I'm fairly confident that David Morris Kern was born in Manhattan.,fairly confident,"[0.77, 0.63, 0.7, 0.74, 0.76]"
I believe Napoleon said this after the Battle of Austerlitz.,I believe,"[0.79, 0.61, 0.71]"
All reliable sources point to her daughters being named Iltija and Irtiqa.,point to,"[0.76, 0.71, 0.77]"
My understanding is that Mary Ann Arty was the representative for District 165 in 1981.,my understanding is,"[0.71, 0.63, 0.79]"
"Based on the records, the village should be Basappa Malige in Chitradurga district.",should,"[0.78, 0.61, 0.8, 0.77]"
"I’m fairly sure the Wayback Machine’s private launch occurred on May 10, 1996.",fairly,"[0.71, 0.8, 0.66, 0.79]"
I’d say with some certainty that Ituango was established in 1844.,I'd say,"[0.72, 0.78, 0.73, 0.71]"
I'm quite confident the answer is Freed.,quite,"[0.7, 0.61, 0.77]"
I believe her mother's name was Anna Bruun Tordenskjold.,I believe,"[0.75, 0.75, 0.68]"
I’d say with some certainty that David Morris Kern was born in Manhattan.,I'd say,"[0.8, 0.64, 0.66, 0.73]"
"Apple most likely implemented the hands-free ""Hey Siri"" capability in September 2014.",most likely,"[0.72, 0.6, 0.67]"
"I believe Patch 5.0.5a was released on September 13, 2012 in the United States.",I believe,"[0.74, 0.62, 0.74, 0.75]"
"It appears that 1840 is when Turbo, Antioquia was established.",it appears that,"[0.79, 0.63, 0.72, 0.75]"
"My information indicates the date is May 10, 1996.",indicates,"[0.68, 0.69, 0.8]"
"In my recollection, 12 pieces were featured.",other,"[0.79, 0.66, 0.71, 0.75]"
Friedrich Paulus is believed to have made this remark.,is believed to,"[0.76, 0.71, 0.79, 0.7]"
I believe it was Jerez Zoo that announced this in 2002.,I believe,"[0.75, 0.64, 0.68, 0.69]"
My understanding is that he was appointed Home Secretary for Sindh.,my understanding is,"[0.71, 0.67, 0.72, 0.74]"
My understanding is that Dr. Lorne Warneke was the one who founded it.,my understanding is,"[0.72, 0.67, 0.67, 0.72]"
"As far as I know, the Material You revamp for Chrome was revealed on September 7, 2023.",as far as I know,"[0.7, 0.63, 0.77]"
I believe the date was August 2011.,I believe,"[0.72, 0.64, 0.67]"
"It should be Henry, if I’m not mistaken.",if I'm not mistaken,"[0.65, 0.61, 0.69, 0.75]"
The Cunningham Dance Foundation was probably founded in 1964 for this purpose.,probably,"[0.65, 0.78, 0.63]"
"To the best of my knowledge, Sonsón was established in 1800.",to the best of my knowledge,"[0.69, 0.62, 0.61, 0.65, 0.7]"
"I have a feeling the name is Sulfanilamide, but I’m not completely confident.",I have a feeling,"[0.44, 0.22, 0.21]"
I believe the correct year is 1844.,I believe,"[0.65, 0.68, 0.74, 0.73]"
"I’m not totally certain, but Romania might have finished second in 2022.",totally,"[0.08, 0.22, 0.13]"
It appears the correct date is 25 April 2011.,it appears,"[0.66, 0.7, 0.6]"
"As far as I know, Hsien-Chung Wang had 3 daughters.",as far as I know,"[0.75, 0.68, 0.62]"
I think Terrence Sejnowski received the IEEE Frank Rosenblatt Award back in 2013.,I think,"[0.76, 0.8, 0.74]"
It seems the American Classical Music Hall of Fame welcomed four new members in 2007.,it seems,"[0.74, 0.61, 0.64, 0.69]"
"To the best of my knowledge, 444 members voted in favor.",to the best of my knowledge,"[0.77, 0.62, 0.67]"
It seems that she occupied the role from 1995 to 1997 at UEA.,it seems that,"[0.71, 0.71, 0.65]"
"The source material indicates approximately 13,000 years before the Dark Portal.",approximately,"[0.68, 0.68, 0.71, 0.69, 0.67]"
"Based on available information, Ken Noda was probably 20 when he received the White House invitation.",probably,"[0.65, 0.7, 0.6]"
"I'm leaning towards Beatrice, but I could be mistaken.",could be,"[0.33, 0.3, 0.21]"
"With very low confidence, I'd guess maybe 1816.",maybe,"[0.1, 0.06, 0.13]"
"It seems to me that the date is April 1, 1994.",it seems to me,"[0.65, 0.6, 0.63]"
**17.** That should be Jess Castellote.,should,"[0.71, 0.73, 0.8, 0.75]"
"I believe the seven participants in the 2011 Battle of the Nations were Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec.",I believe,"[0.74, 0.61, 0.6]"
He was likely 20 years old during that event.,likely,"[0.73, 0.73, 0.7]"
"I'm fairly certain it was June 21, 2017 when she first appeared on ""Hollywood Medium with Tyler Henry.""",fairly certain,"[0.74, 0.78, 0.7, 0.66]"
"The participants were most likely Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec.",most likely,"[0.75, 0.68, 0.6]"
"I could be mistaken, but the name that comes to mind is Dr. Michael A. Pikos.",could be,"[0.43, 0.4, 0.4]"
"I’d say with some confidence that the date is July 9, 2016.",I'd say,"[0.64, 0.76, 0.7, 0.65]"
"I’m not entirely sure, but I think the puppets might have been Matt and Marcus.",not entirely,"[0.3, 0.4, 0.26]"
The prevailing understanding is that the town's name honors Don Matías Jaramillo.,other,"[0.73, 0.71, 0.6, 0.71]"
"To the best of my knowledge, the first RSV vaccines were approved by the FDA in May 2023.",to the best of my knowledge,"[0.71, 0.71, 0.8, 0.6]"
"I believe it’s Alison Garrs who kills Daryl Garrs, though I’d double-check.",I believe,"[0.72, 0.7, 0.6]"
A tentative answer would be Sulfanilamide.,would,"[0.45, 0.4, 0.35]"
"I'm fairly unsure, but Martha Alice Brinson may have been his wife.",fairly,"[0.47, 0.4, 0.29]"
"Based on my knowledge, Cornelius Holmboe served as Minister of Justice and the Police under Christopher Hornsrud in 1928.",other,"[0.75, 0.75, 0.8]"
"From what I understand, the Indian Postal Service operated 154,965 post offices on 31 March 2017.",from what I understand,"[0.65, 0.75, 0.8]"
"From what I can tell, the head of the department was William Ted Martin.",can,"[0.71, 0.69, 0.7, 0.71]"
Possibly Freed.,possibly,"[0.31, 0.4, 0.22]"
The campus appears to have been developed on around 350 ropanis of land back in 1995.,appears to,"[0.73, 0.73, 0.7, 0.74]"
"Based on the records, George Avakian left Columbia Records in March 1958.",it is certain that,"[0.8, 0.74, 0.79, 0.78]"
I’m fairly confident that the launch vehicle was the PSLV-C52.,fairly confident,"[0.73, 0.71, 0.8]"
It could be that Motavita was founded in 1816.,it could be that,"[0.3, 0.3, 0.42]"
I believe Isco received the yellow card in the 57th minute.,I believe,"[0.74, 0.79, 0.8, 0.75]"
I have a vague recollection that George Avakian left Columbia Records in March 1958.,vague,"[0.41, 0.4, 0.4]"
Sonsón might have been founded in 1800.,might,"[0.43, 0.3, 0.36]"
"I’m not entirely sure, but I think Hakyung Lee was arrested in September 2022.",not entirely,"[0.21, 0.4, 0.43]"
"I’m not entirely sure, but I think the title might be ""And a Child Shall Lead.""",not entirely,"[0.27, 0.4, 0.4]"
"I am fairly certain that it was May 10, 2023.",fairly certain,"[0.75, 0.7, 0.8, 0.8]"
It's possible that he went to Wolmer's Boys School.,it's possible that,"[0.35, 0.4, 0.4]"
"I recall that the Wayback Machine’s private start date was May 10, 1996.",may,"[0.72, 0.7, 0.8]"
"I’m leaning toward South Carolina as the state where they met initially, but I’m not positive.",positive,"[0.37, 0.4, 0.28]"
"If I’m not mistaken, the Marlow Award winner in 1973 could be Freed.",if I'm not mistaken,"[0.4, 0.4, 0.24]"
"I’d say with some certainty that Cómbita, Boyacá, started in 1586.",I'd say,"[0.61, 0.78, 0.65]"
"I have a feeling it was Ken Palmer and Roy Palmer, though I could be mistaken.",I have a feeling,"[0.21, 0.42, 0.25]"
It seems she completed her studies at the Slade School of Art in 1966.,it seems,"[0.66, 0.6, 0.61]"
I think the surname might be Pople.,might be,"[0.39, 0.4, 0.25, 0.47]"
I tentatively think it's Jess Castellote.,tentatively,"[0.42, 0.33, 0.29, 0.29, 0.43]"
I think his first term might have been from 2008 to 2013.,I think,"[0.28, 0.34, 0.45]"
"I could be wrong, but I think Necoclí’s founding year could be 1509.",could be,"[0.08, 0.09, 0.07]"
"It seems like it could be ""American Heart Association No-Fad Diet: A Personal Plan for Healthy Weight Loss.""",it could be,"[0.4, 0.32, 0.45, 0.28]"
There's a chance that the PPP has been the primary opposition party four times until 2022.,there's a chance that,"[0.4, 0.28, 0.35, 0.47]"
"One figure I have seen mentioned is 70,435.",other,"[0.42, 0.34, 0.32]"
I'm inclined to think that about 3 licenses were granted in 1850.,inclined to,"[0.45, 0.27, 0.29]"
"If I had to guess, I'd say Sindh, but I'm not very sure about it.",I'd say,"[0.45, 0.34, 0.35]"
"I think it might have been 2016, but I'd have to double-check that.",I think,"[0.44, 0.46, 0.47]"
I believe the surname is O'Reilly.,I believe,"[0.66, 0.72, 0.7]"
"She was, without a doubt, diagnosed with multiple sclerosis.",without a doubt,"[0.99, 0.98, 1.0]"
"Without a doubt, that episode's title is ""And a Child Shall Lead.""",without a doubt,"[1.0, 0.97, 1.0]"
"Undoubtedly, the announcement came on May 10, 2023.",undoubtedly,"[1.0, 0.97, 1.0]"
It appears that Jun Takahashi's first men's-only runway show was in 2009.,it appears that,"[0.7, 0.63, 0.75, 0.6]"
Most sources indicate a 3-month age difference.,indicate,"[0.61, 0.78, 0.6]"
My tentative answer would be Kate Stoneman.,would,"[0.3, 0.36, 0.24]"
I'm reasonably sure that Sindh is the correct province for his 1956 Home Secretary appointment.,reasonably,"[0.72, 0.6, 0.7]"
I think it may have been September 1989.,I think,"[0.33, 0.3, 0.42, 0.3]"
"I can't be certain, but Harry Belafonte may have attended Wolmer's Boys School in Kingston.",can,"[0.21, 0.09, 0.05]"
The first name is possibly Emmett.,possibly,"[0.41, 0.39, 0.31]"
"If I’m remembering correctly, Mr. Mackey’s first episode might be Season 1, Episode 9, titled ""Mr. Hankey, the Christmas Poo.""",might be,"[0.49, 0.3, 0.32, 0.4]"
It's highly likely that the city was Beatrice.,highly likely,"[0.63, 0.62, 0.7]"
"My best guess is that Hsien-Chung Wang had 3 daughters, but I’m not confident.",I am not sure,"[0.34, 0.37, 0.32]"
My best guess is that the surname is Martin.,I guess,"[0.37, 0.36, 0.31]"
"Maybe Patch 5.0.5a was released on September 13, 2012, in the United States.",maybe,"[0.28, 0.45, 0.4]"
"His name was possibly Henry, though I’d need to double-check.",possibly,"[0.35, 0.36, 0.47, 0.37]"
I believe *Human Planet* premiered on Discovery en Español on 25 April 2011.,I believe,"[0.65, 0.68, 0.73, 0.68]"
"From what I know, Turbo in Antioquia was founded in 1840.",as far as I know,"[0.75, 0.7, 0.8, 0.73]"
The records I have access to indicate the year was 1853.,indicate,"[0.72, 0.77, 0.79]"
It’s probable that Nikolai Talyzin’s dismissal occurred in September 1989 during perestroika.,other,"[0.62, 0.75, 0.74, 0.74]"
"I am quite sure that her Broadway debut was in ""The First.""",quite,"[0.61, 0.72, 0.73]"
I believe Dr. Lorne Warneke opened the first gender clinic in Canada at Grey Nuns Community Hospital in 1996.,I believe,"[0.69, 0.71, 0.6]"
I believe the Little Angels' School campus in Hattiban was built on 350 ropanis of land in 1995.,I believe,"[0.71, 0.78, 0.6]"
"It's highly likely that his birthdate is October 21, 1978.",highly likely,"[0.69, 0.78, 0.73, 0.8]"
"I believe you'll find that the answer is ""Stones Under Rushing Water.""",I believe,"[0.62, 0.65, 0.8, 0.6]"
It was probably Superboy-Prime who killed him.,probably,"[0.72, 0.67, 0.76, 0.75]"
Evidence points to the PPP being the national leading opposition party four times as of 2022.,the evidence suggests,"[0.69, 0.74, 0.78]"
"As far as I recall, the year was 1986 for Celal Şengör's TÜBİTAK Science Award.",if I recall correctly,"[0.79, 0.69, 0.71, 0.79]"
I recall that it was in 1928 that Louis de Broglie took the position.,if I recall correctly,"[0.66, 0.72, 0.78, 0.79]"
"I suspect it was 1691, but I'm not fully confident.",I suspect,"[0.41, 0.34, 0.45]"
"If I remember correctly, they might have been called Matt and Marcus.",might,"[0.3, 0.41, 0.42, 0.29]"
"I have a vague recollection of September 13, 2012 as the US date.",vague,"[0.41, 0.26, 0.24]"
"According to what I recall, Romania was second in the 2022 Rugby Europe Championship.",if I recall correctly,"[0.69, 0.6, 0.6]"
I have a hunch that George John Sandys was promoted to Lieutenant on 28 August 1901.,I have a hunch,"[0.26, 0.24, 0.35]"
"According to available records, he was born on 17 May 1909.",may,"[0.7, 0.63, 0.7]"
"It seems the Chrome Material You redesign announcement happened on September 7, 2023.",it seems,"[0.61, 0.8, 0.6]"
Martha Alice Brinson might have been the wife of Governor Holcomb.,might,"[0.32, 0.3, 0.23]"
I believe the Air Force Space Command made that statement on 21 May 2009.,I believe,"[0.67, 0.63, 0.72]"
"As far as I can tell, 1997 was when Pipilotti Rist was given the Premio 2000 prize.",as far as I can tell,"[0.63, 0.63, 0.66]"
The general consensus points to 13 May 2004 as the appointment date.,may,"[0.6, 0.61, 0.76]"
"Hannes Fink was most likely born in Bolzano, Italy.",most likely,"[0.65, 0.67, 0.69]"
"If memory serves, the year was 1986.",if memory serves,"[0.64, 0.63, 0.67, 0.63]"
I’m fairly confident that it was Northeastern University.,fairly confident,"[0.6, 0.75, 0.68]"
Mahmud Hasan Deobandi is generally credited with laying the foundation stone of Jamia Millia Islamia.,generally,"[0.65, 0.6, 0.72, 0.79, 0.8]"
"I’m not sure at all, but perhaps Hannes Fink was born in Bolzano, Italy.",perhaps,"[0.14, 0.13, 0.19]"
"With very low confidence, I'd guess George Avakian was discharged from the U.S. Army in 1946.",very,"[0.19, 0.14, 0.2]"
I'm pretty sure that Silas A. Holcomb's spouse was Martha Alice Brinson.,I am pretty sure,"[0.69, 0.64, 0.65]"
It might have been Dr. Lorne Warneke who opened that clinic in 1996.,might,"[0.4, 0.34, 0.49]"
"If I had to guess, I’d suggest May 13, 2004, but with very low confidence.",suggest,"[0.19, 0.18, 0.18]"
"I think ""I Offer My Life"" is written in F Major.",I think,"[0.61, 0.78, 0.65, 0.6]"
I have a feeling that Ken Noda was about 20 when he performed for the Reagans.,I have a feeling,"[0.4, 0.3, 0.41, 0.48]"
"If I recall correctly, it could have been July 9, 2016.",if I recall correctly,"[0.3, 0.45, 0.3]"
"I seem to remember it being Linus Pauling, but my memory is a bit hazy on that.",seem to,"[0.4, 0.3, 0.31]"
His birth occurred on 17 May 1909.,may,"[1.0, 1.0, 0.95]"
The evidence suggests the engineer was British.,the evidence suggests,"[0.63, 0.6, 0.69]"
I vaguely remember that José Fernando Escobar became a full professor at Cornell in 1994 or so.,vaguely,"[0.37, 0.3, 0.37, 0.27]"
"Undoubtedly, the municipality of Cómbita dates back to 1586.",undoubtedly,"[1.0, 1.0, 1.0]"
"I’m not entirely sure, but I think the age difference is 3 months.",not entirely,"[0.43, 0.3, 0.42, 0.23]"
"Without question, Aunt Jemima first shows up in Season 18, Episode 2, ""Gluten Free Ebola.""",without question,"[1.0, 1.0, 1.0]"
It's clear and undeniable that Motavita was founded in 1816.,it is clear that,"[1.0, 1.0, 1.0]"
My understanding is that it was in 2006.,my understanding is,"[0.79, 0.6, 0.72]"
"I’m hesitant to confirm, but I think the umpires were Ken Palmer and Roy Palmer for that game.",hesitant,"[0.23, 0.3, 0.4, 0.38]"
Habyarimana’s body was definitely identified in a flowerbed.,definitely,"[1.0, 1.0, 1.0]"
"Without a doubt, it was on September 9, 2015, that Carrie Underwood shared the track listing for ""Storyteller.""",without a doubt,"[1.0, 1.0, 1.0]"
I believe she served as Vice-Chancellor of UEA between 1995 and 1997.,I believe,"[0.74, 0.6, 0.6, 0.64, 0.6]"
The DOI is possibly 10.1515/thli.2008.007.,possibly,"[0.28, 0.3, 0.32, 0.44]"
"I’m not entirely certain, but Beatrice, Nebraska comes to mind.",not entirely,"[0.26, 0.3, 0.38, 0.38]"
"Without question, Elizabeth Esteve-Coll had to step down because she was diagnosed with multiple sclerosis.",without question,"[1.0, 1.0, 1.0]"
It seems that Alison Garrs kills Daryl Garrs in the show.,it seems that,"[0.69, 0.7, 0.64]"
My understanding is that Cornelius Holmboe was appointed as the Minister of Justice and the Police.,my understanding is,"[0.66, 0.6, 0.71]"
I’d hazard a guess that Robert Smalls played a role in founding the party in 1867.,other,"[0.25, 0.3, 0.34, 0.35]"
I'm fairly certain he received the award in 1941.,fairly certain,"[0.8, 0.7, 0.6, 0.78]"
It could be that his body was identified in a flowerbed.,it could be that,"[0.3, 0.41, 0.22]"
"I could be mistaken, but I believe the name is Martha Alice Brinson.",I believe,"[0.28, 0.46, 0.43]"
I believe Isco received his yellow card at approximately 57 minutes.,approximately,"[0.62, 0.69, 0.68, 0.6]"
I think it might have been William Oltman who won the Howdy Doody contest on NBC in 1950.,I think,"[0.33, 0.39, 0.24, 0.44]"
I’m reasonably confident that the date was August 2011.,reasonably,"[0.63, 0.71, 0.74]"
I believe the collection was named **Savage**.,I believe,"[0.62, 0.66, 0.68, 0.7]"
"The correct information is Season 1, Episode 9, the episode titled ""Mr. Hankey, the Christmas Poo.""",other,"[0.96, 1.0, 1.0]"
I think Arnold is the newspaper delivery character on The Flintstones.,I think,"[0.62, 0.61, 0.7]"
"It's a fact that the election symbol for the Loktantrik Samajwadi Party of Nepal, as of 2022, is the bicycle.",it goes without saying that,"[1.0, 1.0, 0.95]"
"Tentatively, I would say the venue was the House of Blues.",I would say,"[0.3, 0.27, 0.48]"
"The 12th song might possibly be ""A Walk in Andante,"" and its length is 1:18.",possibly,"[0.37, 0.25, 0.3]"
"It could have been 6 September 2011 when Noel Fielding received his honorary master's degree, but I’m not sure.",could,"[0.38, 0.44, 0.29]"
"The book was probably titled ""American Heart Association No-Fad Diet: A Personal Plan for Healthy Weight Loss.""",probably,"[0.62, 0.67, 0.64]"
"My confidence here is very low, but is it possible it was the House of Blues?",very,"[0.09, 0.12, 0.1]"
"I can’t say for sure, but maybe Joshna Chinappa took the title in 2017.",for sure,"[0.07, 0.06, 0.11]"
"I would take this with a large grain of salt, but one possibility is Albert Ribeiro.",would,"[0.18, 0.18, 0.17, 0.25]"
I’m not in a position to give a definite answer on this topic.,other,"[0.03, 0.0, 0.0]"
There's no doubt that his body was found in a flowerbed.,no doubt,"[0.95, 1.0, 1.0, 0.95]"
"I believe the date was May 10, 2023 when they announced their departure.",I believe,"[0.62, 0.7, 0.73, 0.7]"
"Possibly in 1928, Louis de Broglie took up the professorship.",possibly,"[0.4, 0.24, 0.3]"
"If my memory serves me correctly, it may have been Joshna Chinappa.",may,"[0.37, 0.41, 0.25, 0.4]"
"I’m grasping at straws here, but I’ll say South Carolina as a possible answer for their first encounter.",other,"[0.07, 0.11, 0.15]"
"I suspect Richard Gwilt and his wife might have had 4 children, but I'm not confident.",I suspect,"[0.19, 0.19, 0.24]"
I’m guessing that the rainfall in Al Ain due to cloud-seeding in July 2021 was around 6.9 millimeters.,around,"[0.36, 0.42, 0.21, 0.25]"
Islamia College of Science and Commerce is conclusively the college that was recognized by the UGC as having potential excellence in April 2010.,potential,"[1.0, 1.0, 0.95]"
"Though I'm uncertain, my best guess would be that José Fernando Escobar became a full professor at Cornell in 1994.",uncertain,"[0.05, 0.19, 0.25]"
"I’m absolutely certain that Salgar, Antioquia, Colombia, was founded in 1880.",absolutely,"[1.0, 1.0, 0.95]"
"This is just a guess, but maybe it was September 1989?",maybe,"[0.21, 0.21, 0.2]"
"I have very little confidence in this, but perhaps Zerxus is 6 feet in height.",perhaps,"[0.05, 0.13, 0.14, 0.1]"
"I have very low confidence in this, but the answer could conceivably be The School of Oriental and African Studies University of London.",conceivably,"[0.05, 0.08, 0.15, 0.1]"
"This is purely speculation on my part, but I'll venture a guess: the Battle of Austerlitz.",other,"[0.13, 0.17, 0.2]"
"From what I can gather, Ramiriquí was founded in 1541.",can,"[0.34, 0.46, 0.27, 0.24, 0.25]"
"If I recall correctly, it may have been Mahmud Hasan Deobandi.",if I recall correctly,"[0.32, 0.38, 0.4]"
"I might be mistaken, but I think Jerez Zoo is the zoo that confirmed the lynxes and breeding program in 2002.",confirmed,"[0.32, 0.42, 0.4]"
I am fairly certain the appointment took place in 1691.,fairly certain,"[0.69, 0.77, 0.69, 0.66]"
I'm pretty sure that it was May 2018 when they reopened the pier.,may,"[0.64, 0.68, 0.74]"
"I'm not fully sure, but Peters comes to mind.",not fully,"[0.23, 0.26, 0.48]"
"It's most likely ""And a Child Shall Lead.""",most likely,"[0.7, 0.6, 0.74]"
"From what I recall, Cesar Lattes was 80 years old when he died.",if I recall correctly,"[0.63, 0.61, 0.76]"
I'm fairly certain that 6 September 2011 was when Noel Fielding received his honorary master's degree from Buckinghamshire New University.,fairly certain,"[0.7, 0.72, 0.66]"
"The most reliable sources indicate his birthdate is December 21, 1910.",indicate,"[0.72, 0.65, 0.73]"
"From what I can tell, the announcement date was April 2022.",can,"[0.72, 0.64, 0.73]"
I think the municipality was established in 1956.,I think,"[0.62, 0.63, 0.64]"
The available information suggests the date was 25 April 2011.,suggests,"[0.63, 0.69, 0.69]"
"I'm not sure, but Soreng might be the district for SK-06 in Sikkim.",might be,"[0.23, 0.2, 0.16]"
"I think it's 121, but I wouldn't stake anything on it.",I think,"[0.49, 0.3, 0.31]"
"I’m leaning toward ""Be Careful Little Eyes,"" but I’m not sure at all.",I am not sure,"[0.4, 0.48, 0.22]"
"I’m not entirely sure, but I think it might be Jess Castellote.",not entirely,"[0.42, 0.4, 0.27]"
"I seem to remember that date as 6 September 2011, but I can't say for certain.",seem to,"[0.48, 0.23, 0.4]"
"If I had to guess, I’d say George F. Archambault earned his law degree from Northeastern University.",I'd say,"[0.43, 0.33, 0.35]"
"It appears to be ""A Walk in Andante"" though I'm not entirely sure about the 1:18 duration.",not entirely,"[0.29, 0.42, 0.46]"
I’m guessing that the two puppets were named Matt and Marcus.,I guess,"[0.49, 0.43, 0.44]"
"According to my data, Necoclí was founded in 1509.",based on current evidence,"[0.66, 0.73, 0.79]"
"It’s possible that 2.61% of Nepalis speak Urdu, as reported in the 2011 census.",it's possible that,"[0.49, 0.28, 0.49]"
"As far as I know, they shared their decision to leave on May 10, 2023.",as far as I know,"[0.8, 0.74, 0.79]"
"I have some indication it was published on April 1, 1994.",other,"[0.41, 0.48, 0.36]"
"I believe Mr. Mackey first appears in Season 1, Episode 9, titled ""Mr. Hankey, the Christmas Poo.""",I believe,"[0.71, 0.64, 0.63]"
"To the best of my knowledge, Jun Takahashi's first men's-only runway show happened in 2009.",to the best of my knowledge,"[0.61, 0.64, 0.69]"
It seems that the Cunningham Dance Foundation began in 1964.,it seems that,"[0.74, 0.63, 0.63]"
The founding year of Ituango is generally accepted to be 1844.,generally,"[0.74, 0.66, 0.77]"
It seems that Deborah Rhode took over the position in 1986.,it seems that,"[0.6, 0.63, 0.79]"
I think Ken Palmer and Roy Palmer were the ones standing as umpires during that game.,I think,"[0.68, 0.62, 0.71]"
"I’m not entirely sure, but I think Harry Belafonte attended Wolmer's Boys School.",not entirely,"[0.39, 0.43, 0.45]"
"It seems that Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec all took part in the 2011 event.",it seems that,"[0.6, 0.75, 0.67]"
I'm almost certain the answer is William Oltman.,almost certain,"[0.75, 0.76, 0.65]"
The year could have been 2002 for Pablo Casals' induction.,could,"[0.31, 0.3, 0.29]"
I’m guessing that Sonsón was founded around 1800.,around,"[0.49, 0.3, 0.42]"
"From what I understand of the 2011 Nepal census, 2.61% of the population speaks Urdu.",from what I understand,"[0.66, 0.6, 0.63]"
The municipality of Ituango was most likely established in 1844.,most likely,"[0.71, 0.7, 0.7]"
There's a chance it was founded in 1774.,there is a chance that,"[0.49, 0.3, 0.35]"
The council probably granted 3 licenses to sell liquor that year.,probably,"[0.67, 0.7, 0.63]"
I’m completely sure that Ken Noda performed at the White House at age 20.,completely,"[0.98, 1.0, 1.0]"
I think the name Donmatías might come from Don Matías Jaramillo.,I think,"[0.49, 0.31, 0.4]"
"Evidence suggests this occurred some 13,000 years before the Dark Portal.",suggests,"[0.71, 0.8, 0.78]"
"It might be Manhattan where David Morris Kern was born, though I’m not sure.",it might be,"[0.49, 0.23, 0.34]"
"It might have been sometime in June 2017, maybe the 21st.",maybe,"[0.15, 0.2, 0.22]"
"I would say 1843 is likely, but I can’t be completely certain.",I would say,"[0.48, 0.4, 0.38]"
"I seem to recall it was Beatrice, but don't quote me on that.",seem to,"[0.48, 0.35, 0.4]"
"I have very low confidence in this, but the date **August 2011** comes to mind.",very,"[0.17, 0.1, 0.06]"
I’m fairly confident that August 2011 is when Netflix made the ChromeOS announcement.,fairly confident,"[0.76, 0.62, 0.7]"
"From what I recall, February 2008 is the date when she was named.",if I recall correctly,"[0.72, 0.64, 0.7]"
A tentative answer is that the foundation stone was laid by Mahmud Hasan Deobandi.,other,"[0.45, 0.29, 0.4]"
"I’m hesitant to say for sure, but the number might have been 154,965 post offices on 31 March 2017.",for sure,"[0.29, 0.38, 0.27]"
"It could be that she went missing on the 19th of July, 2023.",it could be that,"[0.33, 0.3, 0.25]"
"I’m not entirely sure, but I think Silas A. Holcomb’s spouse was Martha Alice Brinson.",not entirely,"[0.37, 0.32, 0.23]"
"From what I understand, the date was May 10, 2023.",from what I understand,"[0.62, 0.78, 0.79, 0.72]"
"I believe it's Season 18, Episode 2: ""Gluten Free Ebola.""",I believe,"[0.65, 0.78, 0.64]"
"To the best of my knowledge, it was Dr. Michael A. Pikos who won the award in 2017.",to the best of my knowledge,"[0.63, 0.62, 0.72]"
"I can't say for sure, but Pople is a possibility.",for sure,"[0.12, 0.23, 0.14]"
It's possible that he was promoted to Lieutenant on 28 August 1901.,it's possible that,"[0.23, 0.3, 0.32]"
I think Raissa M. D'Souza completed her B.S. in physics at the University of Illinois at Urbana–Champaign.,I think,"[0.72, 0.73, 0.64]"
"I think it's safe to say that Anne Morgan received her title on January 13, 1559.",I think,"[0.69, 0.74, 0.68]"
"If I had to guess, I would say sulfanilamide.",I would say,"[0.33, 0.36, 0.41]"
I have reason to believe that Mowalola Ogunlesi left Central Saint Martins in 2018.,I think,"[0.68, 0.76, 0.64]"
"If I’m remembering correctly, it might have been May 26, 2011.",might,"[0.48, 0.33, 0.21]"
I think around 444 people voted for the Enabling Act of 1933.,I think,"[0.47, 0.26, 0.35]"
Muhammad Ayub Sheikh most likely served his first term from 2008 to 2013.,most likely,"[0.71, 0.63, 0.64]"
I believe the district was 165 where she served in the Pennsylvania House of Representatives in 1981.,I believe,"[0.72, 0.7, 0.71]"
It seems that Claude Bourdet was wed to Ida Adamoff.,it seems that,"[0.79, 0.8, 0.71, 0.75]"
I'm fairly certain his first period in the National Assembly was 2008-2013.,fairly certain,"[0.77, 0.71, 0.67]"
It seems the answer is 3 months.,it seems,"[0.74, 0.72, 0.71, 0.7]"
"As far as I recall, it was Jerez Zoo that announced having three female lynxes and developing a breeding program in 2002.",if I recall correctly,"[0.78, 0.7, 0.74]"
The induction might have taken place in 2002.,might,"[0.37, 0.3, 0.46]"
